Station,Borough
Third Avenue-138th Street,Bronx
Third Avenue-149th Street,Bronx
138th Street-Grand Concourse,Bronx
149th Street-Grand Concourse,Bronx
161st Street-Yankee Stadium,Bronx
167th Street,Bronx
170th Street,Bronx
174th Street,Bronx
174th-175th Streets,Bronx
176th Street,Bronx
182nd-183rd Streets,Bronx
183rd Street,Bronx
219th Street,Bronx
225th Street,Bronx
231st Street,Bronx
233rd Street,Bronx
238th Street,Bronx
Allerton Avenue,Bronx
Baychester Avenue,Bronx
Bedford Park Boulevard,Bronx
Bedford Park Boulevard-Lehman College,Bronx
Bronx Park East,Bronx
Brook Avenue,Bronx
Buhre Avenue,Bronx
Burke Avenue,Bronx
Burnside Avenue,Bronx
Castle Hill Avenue,Bronx
Cypress Avenue,Bronx
East 143rd Street-St. Mary's Street,Bronx
East 149th Street,Bronx
East 180th Street,Bronx
Eastchester-Dyre Avenue,Bronx
Elder Avenue,Bronx
Fordham Road,Bronx
Freeman Street,Bronx
Gun Hill Road,Bronx
Hunts Point Avenue,Bronx
Intervale Avenue,Bronx
Jackson Avenue,Bronx
Kingsbridge Road,Bronx
Longwood Avenue,Bronx
Middletown Road,Bronx
Morris Park,Bronx
Morrison Avenue-Soundview,Bronx
Mosholu Parkway,Bronx
Mount Eden Avenue,Bronx
Nereid Avenue,Bronx
Norwood-205th Street,Bronx
Parkchester,Bronx
Pelham Bay Park,Bronx
Pelham Parkway,Bronx
Prospect Avenue,Bronx
Simpson Street,Bronx
St. Lawrence Avenue,Bronx
Tremont Avenue,Bronx
Van Cortlandt Park-242nd Street,Bronx
Wakefield-241st Street,Bronx
West Farms Square-East Tremont Avenue,Bronx
Westchester Square-East Tremont Avenue,Bronx
Whitlock Avenue,Bronx
Woodlawn,Bronx
Zerega Avenue,Bronx
21st Street,Queens
21st Street-Queensbridge,Queens
30th Avenue,Queens
33rd Street-Rawson Street,Queens
36th Avenue,Queens
36th Street,Queens
39th Avenue,Queens
40th Street-Lowery Street,Queens
46th Street,Queens
46th Street-Bliss Street,Queens
52nd Street,Queens
63rd Drive-Rego Park,Queens
65th Street,Queens
67th Avenue,Queens
69th Street,Queens
74th Street-Broadway,Queens
75th Avenue,Queens
75th Street-Elderts Lane,Queens
80th Street,Queens
82nd Street-Jackson Heights,Queens
85th Street-Forest Parkway,Queens
88th Street,Queens
90th Street-Elmhurst Avenue,Queens
103rd Street-Corona Plaza,Queens
104th Street,Queens
111th Street,Queens
121st Street,Queens
169th Street,Queens
Aqueduct Racetrack,Queens
Aqueduct-North Conduit Avenue,Queens
Astoria Boulevard,Queens
Astoria-Ditmars Boulevard,Queens
Beach 25th Street,Queens
Beach 36th Street,Queens
Beach 44th Street,Queens
Beach 60th Street,Queens
Beach 67th Street,Queens
Beach 90th Street,Queens
Beach 98th Street,Queens
Beach 105th Street,Queens
Briarwood,Queens
Broad Channel,Queens
Broadway,Queens
Court Square,Queens
Court Square-23rd Street,Queens
Elmhurst Avenue,Queens
Far Rockaway-Mott Avenue,Queens
Flushing-Main Street,Queens
Forest Avenue,Queens
Forest Hills-71st Avenue,Queens
Fresh Pond Road,Queens
Grand Avenue-Newtown,Queens
Howard Beach-JFK Airport,Queens
Hunters Point Avenue,Queens
Jackson Heights-Roosevelt Avenue,Queens
Jamaica Center-Parsons/Archer,Queens
Jamaica-179th Street,Queens
Jamaica-Van Wyck,Queens
Junction Boulevard,Queens
Kew Gardens-Union Turnpike,Queens
Mets-Willets Point,Queens
Middle Village-Metropolitan Avenue,Queens
Northern Boulevard,Queens
Ozone Park-Lefferts Boulevard,Queens
Parsons Boulevard,Queens
Queens Plaza,Queens
Queensboro Plaza,Queens
Rockaway Boulevard,Queens
Rockaway Park-Beach 116th Street,Queens
Seneca Avenue,Queens
Steinway Street,Queens
Sutphin Boulevard,Queens
Sutphin Boulevard-Archer Avenue-JFK Airport,Queens
Vernon Boulevard-Jackson Avenue,Queens
Woodhaven Boulevard,Queens
61st Street-Woodside,Queens
Fourth Avenue,Brooklyn
Seventh Avenue,Brooklyn
Eighth Avenue,Brooklyn
Ninth Avenue,Brooklyn
Ninth Street,Brooklyn
15th Street-Prospect Park,Brooklyn
18th Avenue,Brooklyn
20th Avenue,Brooklyn
25th Avenue,Brooklyn
25th Street,Brooklyn
45th Street,Brooklyn
50th Street,Brooklyn
53rd Street,Brooklyn
55th Street,Brooklyn
59th Street,Brooklyn
62nd Street,Brooklyn
71st Street,Brooklyn
77th Street,Brooklyn
79th Street,Brooklyn
86th Street,Brooklyn
Alabama Avenue,Brooklyn
Atlantic Avenue,Brooklyn
Atlantic Avenue-Barclays Center,Brooklyn
Avenue H,Brooklyn
Avenue I,Brooklyn
Avenue J,Brooklyn
Avenue M,Brooklyn
Avenue N,Brooklyn
Avenue P,Brooklyn
Avenue U,Brooklyn
Avenue X,Brooklyn
Bay 50th Street,Brooklyn
Bay Parkway,Brooklyn
Bay Ridge Avenue,Brooklyn
Bay Ridge-95th Street,Brooklyn
Bedford Avenue,Brooklyn
Bedford-Nostrand Avenues,Brooklyn
Bergen Street,Brooklyn
Beverley Road,Brooklyn
Beverly Road,Brooklyn
Borough Hall,Brooklyn
Botanic Garden,Brooklyn
Brighton Beach,Brooklyn
Broadway Junction,Brooklyn
Bushwick Avenue-Aberdeen Street,Brooklyn
Canarsie-Rockaway Parkway,Brooklyn
Carroll Street,Brooklyn
Central Avenue,Brooklyn
Chauncey Street,Brooklyn
Church Avenue,Brooklyn
Clark Street,Brooklyn
Classon Avenue,Brooklyn
Cleveland Street,Brooklyn
Clinton-Washington Avenues,Brooklyn
Coney Island-Stillwell Avenue,Brooklyn
Cortelyou Road,Brooklyn
Court Street,Brooklyn
Crescent Street,Brooklyn
Crown Heights-Utica Avenue,Brooklyn
Cypress Hills,Brooklyn
DeKalb Avenue,Brooklyn
Ditmas Avenue,Brooklyn
East 105th Street,Brooklyn
Eastern Parkway-Brooklyn Museum,Brooklyn
Euclid Avenue,Brooklyn
Flatbush Avenue-Brooklyn College,Brooklyn
Flushing Avenue,Brooklyn
Fort Hamilton Parkway,Brooklyn
Franklin Avenue,Brooklyn
Fulton Street,Brooklyn
Gates Avenue,Brooklyn
Graham Avenue,Brooklyn
Grand Army Plaza,Brooklyn
Grand Street,Brooklyn
Grant Avenue,Brooklyn
Greenpoint Avenue,Brooklyn
Halsey Street,Brooklyn
Hewes Street,Brooklyn
High Street,Brooklyn
Hoyt Street,Brooklyn
Hoyt-Schermerhorn Streets,Brooklyn
Jay Street-MetroTech,Brooklyn
Jefferson Street,Brooklyn
Junius Street,Brooklyn
Kings Highway,Brooklyn
Kingston Avenue,Brooklyn
Kingston-Throop Avenues,Brooklyn
Knickerbocker Avenue,Brooklyn
Kosciuszko Street,Brooklyn
Lafayette Avenue,Brooklyn
Liberty Avenue,Brooklyn
Livonia Avenue,Brooklyn
Lorimer Street,Brooklyn
Marcy Avenue,Brooklyn
Metropolitan Avenue,Brooklyn
Montrose Avenue,Brooklyn
Morgan Avenue,Brooklyn
Myrtle Avenue,Brooklyn
Myrtle-Willoughby Avenues,Brooklyn
Myrtle-Wyckoff Avenues,Brooklyn
Nassau Avenue,Brooklyn
Neck Road,Brooklyn
Neptune Avenue,Brooklyn
Nevins Street,Brooklyn
New Lots Avenue,Brooklyn
New Utrecht Avenue,Brooklyn
Newkirk Avenue,Brooklyn
Norwood Avenue,Brooklyn
Newkirk Plaza,Brooklyn
Nostrand Avenue,Brooklyn
Ocean Parkway,Brooklyn
Park Place,Brooklyn
Parkside Avenue,Brooklyn
Pennsylvania Avenue,Brooklyn
President Street,Brooklyn
Prospect Park,Brooklyn
Ralph Avenue,Brooklyn
Rockaway Avenue,Brooklyn
Saratoga Avenue,Brooklyn
Sheepshead Bay,Brooklyn
Shepherd Avenue,Brooklyn
Smith-Ninth Streets,Brooklyn
Sterling Street,Brooklyn
Sutter Avenue,Brooklyn
Sutter Avenue-Rutland Road,Brooklyn
Union Street,Brooklyn
Utica Avenue,Brooklyn
Van Siclen Avenue,Brooklyn
West Eighth Street-New York Aquarium,Brooklyn
Wilson Avenue,Brooklyn
Winthrop Street,Brooklyn
York Street,Brooklyn
First Avenue,Manhattan
Second Avenue,Manhattan
Third Avenue,Manhattan
Fifth Avenue/53rd Street,Manhattan
Fifth Avenue/59th Street,Manhattan
Fifth Avenue,Manhattan
Sixth Avenue,Manhattan
Eighth Street-New York University,Manhattan
14th Street,Manhattan
14th Street-Union Square,Manhattan
18th Street,Manhattan
23rd Street,Manhattan
28th Street,Manhattan
33rd Street,Manhattan
34th Street-Herald Square,Manhattan
34th Street-Hudson Yards,Manhattan
34th Street-Penn Station,Manhattan
42nd Street-Bryant Park,Manhattan
42nd Street-Port Authority Bus Terminal,Manhattan
47th-50th Streets-Rockefeller Center,Manhattan
49th Street,Manhattan
51st Street,Manhattan
57th Street,Manhattan
57th Street-Seventh Avenue,Manhattan
59th Street-Columbus Circle,Manhattan
66th Street-Lincoln Center,Manhattan
68th Street-Hunter College,Manhattan
72nd Street,Manhattan
81st Street-Museum of Natural History,Manhattan
96th Street,Manhattan
103rd Street,Manhattan
110th Street,Manhattan
116th Street,Manhattan
116th Street-Columbia University,Manhattan
125th Street,Manhattan
135th Street,Manhattan
137th Street-City College,Manhattan
145th Street,Manhattan
155th Street,Manhattan
157th Street,Manhattan
163rd Street-Amsterdam Avenue,Manhattan
168th Street,Manhattan
175th Street,Manhattan
181st Street,Manhattan
190th Street,Manhattan
191st Street,Manhattan
207th Street,Manhattan
215th Street,Manhattan
Astor Place,Manhattan
Bleecker Street,Manhattan
Bowery,Manhattan
Bowling Green,Manhattan
Broad Street,Manhattan
Broadway-Lafayette Street,Manhattan
Brooklyn Bridge-City Hall,Manhattan
Canal Street,Manhattan
Central Park North-110th Street,Manhattan
Chambers Street,Manhattan
Christopher Street-Sheridan Square,Manhattan
City Hall,Manhattan
Cortlandt Street,Manhattan
Delancey Street,Manhattan
Dyckman Street,Manhattan
East Broadway,Manhattan
Essex Street,Manhattan
Franklin Street,Manhattan
Grand Central-42nd Street,Manhattan
Harlem-148th Street,Manhattan
Houston Street,Manhattan
Inwood-207th Street,Manhattan
Lexington Avenue/53rd Street,Manhattan
Lexington Avenue/59th Street,Manhattan
Lexington Avenue-63rd Street,Manhattan
Marble Hill-225th Street,Manhattan
Prince Street,Manhattan
Rector Street,Manhattan
Roosevelt Island,Manhattan
South Ferry,Manhattan
Spring Street,Manhattan
Times Square,Manhattan
Times Square-42nd Street,Manhattan
Wall Street,Manhattan
West Fourth Street-Washington Square,Manhattan
Whitehall Street-South Ferry,Manhattan
World Trade Center,Manhattan
WTC Cortlandt,Manhattan
